Country,Year,GDP_Billion,Population_Million,Life_Expectancy,Hospital_Beds_Per_1000
USA,2024,10745,82,63,2
UK,2016,1454,1386,62,8
Japan,2017,94300,957,80,6
Brazil,2019,9537,582,64,9
Russia,2013,16646,1351,55,8
Japan,2018,18779,261,69,8
China,2021,11574,1180,55,8
USA,2015,4192,237,56,8
Nigeria,2023,13370,737,64,9
China,2020,7970,1145,67,4
UK,2017,9361,428,79,6
France,2011,4797,1260,65,6
Brazil,2014,18148,877,69,9
India,2012,12628,475,55,8
Brazil,2014,94300,751,85,8
France,2018,3203,632,59,8
India,2012,863,632,80,9
USA,2017,6973,632,54,9
Brazil,2017,2724,562,81,2
UK,2024,4739,1013,78,7
India,2012,13940,764,60,4
USA,2019,3795,1272,69,5
UK,2013,9347,1326,69,6
UK,2019,94300,859,50,9
UK,2023,18655,795,77,9
Nigeria,2020,14203,222,69,6
Russia,2017,8597,1033,87,9
China,2015,94300,167,89,9
Nigeria,2023,2668,1289,84,6
USA,2019,11907,564,52,4
USA,2013,16096,16,63,5
Germany,2024,10840,1288,63,4
France,2016,14802,638,59,5
Nigeria,2018,2988,255,69,5
USA,2020,18313,513,69,7
France,2017,459,932,57,10
USA,2017,3143,586,53,10
Japan,2022,10143,837,52,8
Germany,2016,94300,1258,58,3
Japan,2016,923,666,72,2
UK,2020,15555,640,69,5
France,2013,8135,787,56,3
Nigeria,2020,94300,1325,69,3
India,2023,94300,632,51,2
Japan,2014,14376,925,51,3
USA,2017,4775,943,50,2
Nigeria,2012,16038,258,76,3
UK,2018,2168,348,78,9
China,2010,16638,562,76,3
Germany,2010,94300,1255,50,2
Russia,2018,4316,46,57,6
USA,2023,8544,1250,82,4
Russia,2022,5336,537,69,3
UK,2014,12558,579,69,5
France,2014,94300,1328,69,2
UK,2022,94300,687,85,8
China,2015,8619,41,60,6
Brazil,2021,12742,632,55,9
Brazil,2015,19691,740,56,3
Nigeria,2016,564,1280,69,6
Nigeria,2015,5626,780,76,8
Nigeria,2017,94300,25,55,9
USA,2023,17503,840,69,7
Japan,2015,3672,1281,66,4
UK,2023,94300,75,56,8
Japan,2023,1839,848,59,5
Brazil,2012,5916,504,78,4
UK,2012,11414,671,76,9
USA,2014,14704,308,69,3
France,2024,11982,81,69,6
USA,2010,6818,1081,54,2
Nigeria,2016,14618,698,77,5
india ,2010,5078,1148,82,7
India,2024,5588,830,64,2
France,2020,18362,200,88,5
Germany,2013,3865,763,84,8
Russia,2021,16169,925,77,9
France,2013,5143,690,58,10
UK,2014,94300,64,78,9
UK,2013,3775,799,86,1
India,2019,14008,423,87,10
India,2010,18896,669,84,9
India,2017,6518,1162,69,6
France,2020_est,4754,177,53,7
Brazil,2015,6929,1017,52,4
China,2013,10881,1109,62,7
Brazil,2011,17742,866,59,1
Germany,2024,17427,39,85,6
Germany,2024,18793,1120,89,4
France,2010,15390,632,69,7
Russia,2018,17498,1377,80,5
Germany,2010,8542,1035,59,5
USA,2019,7221,409,61,3
Inida,2017,1033,34,89,5
Nigeria,2010,7809,632,58,10
USA,2012,15769,134,69,9
France,2021,18905,659,69,3
UK,2024,94300,332,87,7
UK,2021,12233,722,59,3
China,2021,4565,269,81,4
Japan,2021,94300,1357,85,9
Russia,2015,19899,251,65,8
Germany,2019,10000000,223,82,3
Brazil,2021,4631,756,73,6
China,2015,2011,1229,60,2
France,2014,17797,1338,84,8
Brazil,2015,94300,775,69,5
India,2023,94300,371,78,5
France,2018,1804,316,77,2
UK,2021,17053,698,69,6
USA,2015,16528,493,77,6
Japan,2018,5487,1231,81,7
Japan,2010,17041,1215,69,9
China,2010,14009,955,74,8
Japan,2016,3340,1234,84,1
Russia,2016,16551,189,63,8
Russia,2013,3383,1146,83,6
Russia,2018,326,632,69,10
UK,2020,94300,371,69,6
France,2020,94300,158,80,6
Russia,2023,19267,485,75,9
France,2013,2229,1312,69,2
Nigeria,2012,6159,994,52,6
India,2024,7048,873,69,9
Japan,2018,19475,1356,80,2
Nigeria,2016,15213,44,69,4
India,2010,9875,1080,77,5
Brazil,2012,5617,1396,67,5
UK,2019,94300,1114,77,3
Japan,2024,1831,955,69,3
UK,2024,19027,219,67,9
UK,2020,8510,897,65,3
Russia,2015,19682,578,85,3
Germany,2023,94300,53,76,4
Germany,2018,17314,667,88,3
France,2014,17398,1089,69,9
india ,2019,15268,880,55,1
Russia,2010,94300,867,81,5
China,2011,2522,184,77,5
Germany,2024,4170,693,69,6
Brazil,2024,5526,1118,62,5
China,2014,430,110,65,5
China,2022,12080,415,69,9
Germany,2018,15641,65,69,2
Russia,2010,4992,1381,69,5
Russia,2020,12439,986,72,1
Nigeria,2015,6663,729,69,4
Russia,2018,94300,119,65,2
Russia,2010,94300,968,82,3
Nigeria,2016,3516,155,75,7
France,2022,825,1311,52,6
UK,2022,14239,1220,69,8
Germany,2015,6921,1142,53,9
China,2015,11042,1146,68,7
France,2015,10622,1026,53,2
France,2020,5092,231,84,3
UK,2024,19522,478,57,8
UK,2010,13242,702,72,7
Brazil,2015,4723,632,89,7
Brazil,2011,4150,632,52,1
India,2022,5302,653,84,8
Nigeria,2014,14905,601,63,5
China,2012,19755,65,84,6
Russia,2012,8884,1018,69,9
USA,2016,94300,596,61,6
Nigeria,2022,18264,302,69,7
China,2018,14715,192,78,9
USA,2013,3757,340,88,3
Japan,2023,17116,694,59,9
Japan,2020,9017,725,64,6
Germany,2022,3437,553,88,3
USA,2020,13203,632,80,2
Japan,2014,94300,632,59,2
UK,2017,3561,732,63,8
USA,2024,8731,355,74,7
INDIA,2012,3507,242,51,8
Russia,2016,13343,669,83,8
India,2024,11790,1216,58,2
Japan,2013,5541,89,71,9
India,2019,979,179,68,9
Nigeria,2013,6459,715,51,2
France,2019,19735,1351,50,10
France,2023,94300,1216,68,6
France,2021,9879,936,55,1
Nigeria,2022,6297,989,58,7
Japan,2016,19404,140,76,5
China,2016,94300,256,77,9
China,2017,18903,959,69,7
INDIA,2020,94300,803,51,9
Nigeria,2018,94300,950,58,7
Germany,2022,94300,915,54,7
Nigeria,2019,19988,77,89,5
Indai,2022,94300,1097,72,8
Germany,2017,17594,571,63,7
Brazil,2010,16195,1069,81,5
France,2023,16393,177,71,1
China,2010,6626,519,65,7
China,2024,7893,633,59,4
China,2014,4699,111,74,5
UK,2013,12465,654,65,9
USA,2019,10477,632,51,4
Russia,2024,7727,564,73,6
UK,2017,12236,1073,82,7
Brazil,2024,19119,35,57,1
China,2012,13020,1258,69,9
Nigeria,2018,1393,1308,64,2
USA,2021,9820,366,61,4
India,2012,16099,759,62,6
Brazil,2020,14379,388,66,2
Brazil,2020,3786,956,69,6
France,2011,14239,158,69,3
Brazil,2019,19265,682,82,6
UK,2022,1059,890,88,6
Russia,2023,16419,1239,59,3
Japan,2019,12297,581,83,9
Indai,2013,7197,339,81,3
Brazil,2011,16487,599,76,2
France,2018,12552,637,73,3
India,2011,14790,1209,69,2
Germany,2019,668,902,74,6
Russia,2010,4792,553,73,5
Brazil,2023,19758,199,77,5
USA,2017,8678,1007,77,10
Germany,2022,2742,154,79,6
Nigeria,2012,5628,120,69,9
Nigeria,2016,3998,459,59,4
India,2017,1574,731,52,8
India,2020_est,4827,760,85,7
India,2021,10752,460,63,7
Brazil,2013,19883,929,72,8
Nigeria,2012,9411,93,72,10
USA,2019,3671,969,69,6
China,2023,2114,636,80,4
Brazil,2022,13365,1115,69,3
Japan,2013,8106,221,89,9
UK,2020,10891,1180,70,7
Brazil,2014,1964,1059,55,8
USA,2012,15684,995,51,4
China,2020,5409,510,69,9
USA,2011,11165,632,69,5
UK,2015,12091,726,86,5
Indai,2023,19844,1193,58,9
Japan,2017,94300,1146,65,9
India,2018,17387,1130,69,4
Brazil,2024,1802,570,56,7
Nigeria,2012,94300,1366,75,8
France,2014,2823,632,86,5
Germany,2018,12203,1073,57,6
France,2023,8093,213,64,2
China,2017,711,197,88,6
India,2013,19323,611,69,6
USA,2010,8902,156,75,3
Nigeria,2019,12467,913,56,2
Japan,2015,15659,649,52,10
Japan,2018,1344,976,89,3
India,2011,3016,178,62,2
Brazil,2015,13904,96,70,10
Brazil,2017,16316,865,62,7
UK,2019,10635,602,55,9
UK,2019,94300,280,64,5
Russia,2014,16585,1029,80,1
France,2024,8439,679,69,3
Russia,2014,15253,200,71,3
Japan,2014,439,345,89,8
Inida,2016,19199,688,54,6
China,2016,9196,1183,53,5
Japan,2024,3170,461,79,5
UK,2017,7642,632,68,8
USA,2012,17863,1337,81,5
India,2023,13825,618,60,9
France,2018,94300,632,68,7
France,2016,13255,1254,75,7
France,2016,1519,730,56,8
China,2020,10341,955,51,2
india ,2011,14383,110,52,1
UK,2017,19138,1035,64,4
Nigeria,2018,7124,1086,76,3
China,2011,3647,146,76,8
India,2012,5447,39,53,10
France,2010,94300,1079,75,4
Germany,2020,4272,178,74,8
Japan,2015,12949,747,51,10
Nigeria,2011,16014,417,69,6
France,2024,11731,1049,82,7
Japan,2024,2736,480,87,3
USA,2024,7568,610,67,7
France,2024,18872,344,54,3
Russia,2020,17761,907,69,8
Nigeria,2024,17255,1186,86,3
Brazil,2023,15149,650,83,8
Brazil,2019,15573,922,57,6
USA,2015,19696,1312,51,2
India,2021,2808,632,82,3
Brazil,2019,10215,1178,79,6
Russia,2014,11888,716,61,6
Germany,2012,13839,1223,75,8
Nigeria,2023,3369,651,50,3
Russia,2015,14583,1388,54,5
Germany,2013,16041,293,69,8
USA,2020_est,12396,271,64,8
UK,2015,11173,17,69,1
Nigeria,2014,94300,291,69,4
Germany,2014,6673,216,62,9
Germany,2017,19927,521,67,7
Nigeria,2018,17746,632,69,5
USA,2019,13973,14,74,4
Nigeria,2018,15925,139,73,5
USA,2010,12918,100,73,6
India,2016,11301,848,77,8
USA,2018,5542,1156,69,2
France,2019,1359,474,81,7
Nigeria,2021,15814,729,67,2
Russia,2017,6698,613,69,3
Japan,2010,12044,1032,89,9
Japan,2017,12922,595,75,8
France,2010,2543,579,83,4
Nigeria,2013,11523,827,57,4
Germany,2021,6823,632,51,8
USA,2018,5606,730,61,9
USA,2022,5334,607,84,9
France,2010,3884,1125,68,5
Brazil,2010,2842,122,79,5
INDIA,2020_est,8849,1024,80,2
UK,2013,12282,198,69,7
Nigeria,2024,94300,105,52,4
Brazil,2019,5381,353,86,3
Germany,2010,94300,1065,68,8
Russia,2024,1494,687,51,2
France,2019,18147,203,71,5
Germany,2021,7077,1260,50,7
Japan,2013,19275,632,87,1
China,2023,94300,371,79,10
Germany,2022,5279,919,57,6
India,2014,9385,632,74,4
Japan,2018,2459,220,59,3
USA,2024,17042,790,70,2
China,2015,94300,1014,52,7
Brazil,2020,10962,123,68,5
China,2018,94300,1324,84,7
China,2020,9353,582,76,6
Germany,2018,94300,722,82,5
India,2020,1228,1102,58,3
Japan,2022,3461,469,80,6
China,2022,4256,1230,85,9
Germany,2014,4928,637,89,8
UK,2020,737,100,68,9
Russia,2010,94300,701,54,7
india ,2021,94300,538,81,10
Russia,2011,10000000,737,61,8
Japan,2014,11636,892,81,5
Russia,2017,18318,750,56,7
Germany,2020,94300,450,84,9
China,2019,5682,1377,69,3
UK,2022,3847,1252,76,2
Brazil,2013,8918,865,53,9
France,2014,16111,712,88,5
France,2014,94300,938,75,2
Japan,2012,17662,604,69,1
Russia,2016,11283,743,78,9
Germany,2015,1772,1026,57,9
UK,2019,94300,761,78,4
China,2019,9529,1152,68,4
Nigeria,2024,9985,1161,63,3
Germany,2024,14297,1158,54,3
USA,2020,3011,493,68,8
UK,2024,13092,873,64,9
France,2013,94300,1370,75,2
Japan,2023,13588,461,77,2
Germany,2022,3662,1199,59,9
Inida,2023,5729,903,77,6
USA,2012,6245,305,69,4
USA,2021,13132,1314,84,8
Nigeria,2023,15811,934,60,9
France,2019,13480,789,54,5
Japan,2024,9315,1211,71,4
Russia,2022,94300,163,66,1
France,2017,14850,1286,61,5
France,2022,5985,1275,80,8
USA,2024,556,1348,69,4
France,2016,16622,401,84,2
China,2024,14132,761,53,3
Japan,2020,445,661,69,6
Japan,2020,6085,426,79,1
UK,2013,18077,1194,76,6
USA,2022,17867,267,53,3
Brazil,2012,15932,58,73,10
Brazil,2010,17142,734,52,8
Germany,2012,12059,169,53,9
France,2016,13450,1162,69,6
France,2024,10445,608,69,5
Germany,2012,15522,632,85,5
China,2024,12220,887,73,7
France,2015,4901,722,54,4
France,2010,9855,916,88,6
Russia,2022,14923,713,75,2
Brazil,2024,5236,512,68,1
India,2021,2972,394,88,4
India,2019,9744,282,74,4
Japan,2022,4298,728,50,1
India,2014,4537,61,54,4
USA,2022,16091,632,70,4
India,2014,94300,561,53,7
UK,2010,2454,489,70,9
Russia,2014,9972,986,89,2
Nigeria,2016,94300,558,66,5
China,2024,18170,1002,74,4
Japan,2016,16511,632,82,1
India,2019,12800,81,60,2
UK,2010,12155,964,54,4
Germany,2019,9233,522,54,5
Indai,2013,94300,632,53,4
Nigeria,2023,94300,632,69,4
Russia,2024,11954,24,75,9
Germany,2018,12328,1224,79,2
Germany,2017,18068,102,71,2
India,2021,431,596,61,5
UK,2010,94300,70,54,6
Nigeria,2014,6994,1023,76,9
Japan,2018,94300,607,76,3
Germany,2021,94300,1106,67,8
Russia,2011,16483,1202,86,5
France,2012,6513,819,64,6
USA,2020_est,14170,966,69,3
India,2015,8724,208,85,4
Germany,2018,94300,45,75,7
Germany,2016,94300,109,66,4
China,2024,13606,852,64,5
Germany,2023,94300,641,77,2
India,2015,9814,48,70,10
UK,2013,94300,64,51,4
UK,2010,3368,42,80,5
Russia,2023,5927,1261,54,10
India,2024,94300,1244,74,8
Brazil,2014,19683,410,88,5
Germany,2023,7833,483,71,2
Germany,2024,94300,762,80,9
India,2020,8920,430,60,3
India,2012,1341,486,60,10
Russia,2024,11242,492,73,2
UK,2022,8992,880,69,5
UK,2015,19878,632,69,6
Japan,2024,12489,289,65,1
Germany,2019,9615,764,59,10
Brazil,2018,18207,1013,69,9
China,2022,2786,1108,55,8
Japan,2021,5660,1229,87,2
Nigeria,2024,9360,1373,69,9
Russia,2010,11856,531,61,3
Germany,2017,15283,547,69,5
Brazil,2013,11630,1213,89,5
India,2015,16584,1072,69,10
Russia,2011,94300,632,84,5
Japan,2021,16969,1251,52,9
Japan,2022,9076,719,69,9
Nigeria,2019,578,672,77,8
France,2019,13912,632,62,4
Nigeria,2013,94300,397,58,10
Brazil,2019,94300,1396,77,8
Russia,2018,6033,29,79,5
France,2010,94300,208,80,8
China,2010,13239,1074,83,7
Germany,2019,1954,687,53,5
Russia,2021,8260,101,64,2
USA,2023,16203,1327,52,5
Brazil,2024,10547,426,53,6
China,2014,15931,632,52,2
Russia,2024,8176,420,59,4
Brazil,2019,16108,1301,66,9
UK,2014,6565,632,59,7
India,2019,94300,848,64,7
China,2016,94300,1245,70,5
Nigeria,2018,11800,878,52,7
USA,2010,4990,1002,82,8
India,2015,11139,733,55,8
UK,2018,5573,700,61,2
China,2020,12665,85,79,4
Russia,2023,202,720,51,3
India,2010,14198,97,83,1
China,2021,5087,1039,62,2
Brazil,2021,7332,385,83,4
Japan,2014,15820,1249,67,9
Russia,2013,7670,1350,53,7
Nigeria,2014,9977,632,75,7
USA,2017,286,242,69,7
USA,2023,19327,1067,88,7
Nigeria,2019,6101,156,81,7
China,2021,1154,510,88,6
Russia,2010,8768,646,58,4
Japan,2010,7522,82,80,5
India,2015,16479,1191,58,7
India,2019,9551,1233,58,7
Japan,2019,12233,420,55,7
Russia,2017,14824,448,75,5
India,2010,14321,286,85,4
France,2014,7482,90,54,6
India,2020,5498,1171,50,4
UK,2010,6879,36,55,5
Germany,2024,9958,571,71,6
UK,2019,396,655,88,6
France,2019,10000000,443,81,8
India,2016,10521,1366,55,1
UK,2014,15449,1131,54,3
Brazil,2014,547,417,80,6
China,2017,7092,526,50,4
Nigeria,2012,12999,1364,83,1
Nigeria,2020_est,94300,1098,81,5
Japan,2024,8080,431,69,3
India,2018,5082,632,79,5
China,2020,1345,1341,69,8
Nigeria,2021,19828,766,69,2
Russia,2019,7440,323,57,2
Nigeria,2011,12523,1096,73,2
UK,2010,16260,893,65,7
India,2024,5346,489,69,4
Russia,2010,9505,1247,78,2
China,2022,3116,20,75,5
France,2011,2858,1341,71,3
Germany,2011,10111,954,53,3
india ,2019,16177,648,71,5
USA,2016,1069,240,67,5
Russia,2011,1189,1182,89,8
France,2019,17104,346,88,3
Russia,2010,10000000,1392,78,10
Russia,2022,11476,370,67,6
France,2013,1647,875,89,3
China,2018,15893,1271,87,5
Brazil,2015,10524,1368,80,2
India,2024,9642,1008,59,7
Russia,2015,94300,236,72,8
Japan,2019,10078,26,50,4
Nigeria,2011,18538,327,75,3
Nigeria,2019,6569,1188,79,2
Russia,2013,8688,50,69,5
USA,2010,2546,411,65,9
Japan,2019,19866,72,69,4
France,2012,7970,1058,86,10
USA,2014,11627,506,81,3
Germany,2014,11368,508,76,3
India,2020,3993,1286,54,6
France,2023,4572,64,51,3
USA,2017,94300,402,88,6
Japan,2024,8844,816,70,8
India,2021,94300,500,85,10
USA,2012,17872,593,69,5
India,2017,10051,294,73,3
Russia,2021,6764,632,58,2
Brazil,2016,1566,1317,70,5
Japan,2021,16255,1171,63,7
China,2017,15468,919,56,9
France,2019,10874,632,67,1
India,2018,2731,1074,50,5
Russia,2022,10545,85,88,3
Russia,2010,94300,432,59,1
India,2019,14641,1353,59,7
USA,2014,14889,1189,66,4
Nigeria,2013,6640,1000,82,3
Japan,2011,7544,1263,82,10
Germany,2018,94300,556,73,5
UK,2010,1753,766,78,3
Japan,2022,94300,821,88,1
Inida,2019,5453,846,61,7
India,2019,15228,152,70,6
India,2019,7511,1306,83,7
UK,2017,14343,651,86,7
Japan,2012,94300,1207,61,8
india ,2020,4065,490,63,10
india ,2023,17159,984,79,6
Brazil,2022,18952,699,65,2
Brazil,2011,15766,1030,65,1
UK,2021,16812,25,78,10
Russia,2020,8865,336,69,8
India,2018,94300,1354,52,6
Japan,2014,14425,1209,57,8
USA,2011,11143,561,69,9
India,2021,3314,440,69,9
USA,2020,13519,1117,60,7
France,2016,11520,1167,86,1
India,2020,13545,82,72,4
Nigeria,2020,6274,500,74,4
France,2015,14707,572,52,8
Nigeria,2022,5858,611,77,4
Brazil,2021,1320,529,87,7
France,2010,13495,888,69,5
Nigeria,2010,15068,150,61,3
Japan,2019,8753,1372,52,6
India,2020,94300,1359,54,5
France,2013,14810,989,66,4
China,2020,8072,377,58,5
India,2013,5516,409,69,10
Brazil,2010,12152,117,69,5
China,2010,6086,137,74,7
Japan,2013,94300,381,50,10
China,2011,10000000,949,78,6
Nigeria,2021,6395,386,73,9
France,2019,18945,157,69,10
India,2011,14783,1237,58,5
Russia,2019,14082,955,66,1
France,2024,11741,361,68,10
Germany,2024,8100,1177,57,7
Russia,2021,19544,151,69,5
India,2017,2033,1050,86,5
India,2010,5322,613,78,1
Russia,2023,94300,862,69,3
USA,2024,14338,137,58,9
France,2016,14826,29,59,3
France,2012,5561,354,52,5
China,2016,14708,853,76,2
India,2011,19039,1175,69,5
Nigeria,2011,18667,766,58,7
Brazil,2017,14909,1035,70,2
Inida,2022,7548,1289,73,6
UK,2020,5523,522,85,7
Germany,2016,15790,641,69,3
Nigeria,2013,14168,604,67,7
UK,2015,94300,98,69,4
Japan,2015,8989,40,69,6
Nigeria,2017,1312,692,87,2
France,2013,15335,579,69,3
India,2019,94300,233,52,3
Japan,2023,13351,1235,69,7
Germany,2020,2386,411,62,3
Japan,2022,10397,754,69,4
India,2022,16605,1107,69,9
UK,2020,19065,464,64,6
Japan,2019,18834,1228,54,5
China,2018,11156,709,57,5
India,2017,13603,1174,84,8
France,2018,8896,858,69,7
Nigeria,2019,3749,974,59,2
india ,2016,94300,12,69,8
India,2017,10395,234,53,1
Brazil,2022,3481,1248,59,4
France,2012,94300,632,70,6
Germany,2022,5057,90,65,3
Japan,2012,4547,1344,69,6
Nigeria,2011,8432,606,71,7
France,2011,94300,248,70,5
Nigeria,2021,17436,887,71,2
Japan,2014,94300,172,69,2
China,2016,94300,296,65,9
UK,2015,4245,632,66,1
Japan,2014,15896,105,69,6
USA,2024,12642,967,60,1
Japan,2012,94300,754,83,5
Russia,2016,16897,684,63,8
China,2023,94300,264,84,9
UK,2013,9432,115,65,8
France,2011,18055,292,52,9
France,2021,7910,763,69,2
Brazil,2024,94300,632,65,8
China,2013,8782,1396,72,4
France,2015,4558,497,64,2
Inida,2016,7517,655,69,7
India,2012,94300,21,58,7
Japan,2017,9782,17,69,8
Germany,2013,11058,102,80,6
USA,2020,15682,1054,82,6
USA,2014,2978,942,69,8
Brazil,2020,3563,281,85,8
Germany,2017,18182,1064,73,7
France,2014,17804,814,75,2
Russia,2011,94300,1005,60,3
USA,2020,6413,345,58,5
Brazil,2024,18175,632,57,2
France,2011,13983,542,69,7
France,2011,15965,388,77,3
Nigeria,2013,18793,894,63,3
Japan,2011,3980,975,58,6
Germany,2017,5439,930,82,8
USA,2015,15264,270,69,7
USA,2023,7493,610,51,3
Indai,2017,866,1232,59,6
France,2018,10000000,936,62,9
India,2018,17784,462,86,10
Nigeria,2017,94300,1184,60,6
China,2019,94300,141,90,4
Japan,2024,15014,1131,84,10
Brazil,2017,4981,66,66,2
China,2018,644,510,81,6
USA,2024,6393,919,59,1
Germany,2013,94300,877,80,1
France,2023,16774,871,69,7
Brazil,2013,94300,825,73,10
Japan,2018,94300,624,78,5
Brazil,2023,4731,632,87,9
UK,2014,6969,743,58,10
Brazil,2016,19626,912,82,7
India,2013,94300,84,69,7
UK,2022,13615,528,87,3
Inida,2016,10107,970,77,7
France,2010,5650,227,75,6
Russia,2021,3751,990,68,7
Japan,2011,16779,245,69,5
USA,2016,12272,982,83,8
China,2017,19226,754,69,5
France,2018,3243,805,69,9
France,2020,11747,834,69,1
Nigeria,2012,828,598,53,6
Russia,2021,17643,1237,76,3
Indai,2015,94300,1241,57,8
Germany,2019,5873,1125,89,1
France,2019,17967,875,88,5
France,2020,16978,96,63,2
INDIA,2010,19511,1145,84,9
UK,2017,1885,545,52,3
USA,2016,4741,662,60,2
Russia,2021,3516,214,88,8
Japan,2020,19361,621,69,8
Germany,2013,6659,426,59,2
Brazil,2018,5277,503,77,2
UK,2020,4368,1134,69,4
